Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
12/23/2021,767.00,767.00,749.00,760.00,1.06,53583.00,40522914.00,39.65,19.17
12/22/2021,745.00,756.00,735.00,752.00,2.84,54868.00,41121360.30,39.65,18.97
12/21/2021,735.00,736.00,722.00,731.20,1.27,30657.00,22326546.50,39.65,18.44
12/20/2021,748.60,748.60,720.00,722.00,-1.63,50222.00,36349240.50,39.65,18.21
12/16/2021,736.50,736.50,721.00,734.00,0.27,28600.00,20773760.70,39.65,18.51
12/15/2021,754.00,767.00,725.00,732.00,-1.01,69145.00,50800581.50,39.65,18.46
12/14/2021,723.00,739.50,716.00,739.50,4.30,18561.00,13500800.40,39.65,18.65
12/13/2021,712.00,722.00,701.00,709.00,-2.21,70526.00,50097353.60,39.65,17.88
12/12/2021,748.00,748.00,722.00,725.00,-2.37,53496.00,38970096.60,39.65,18.28
12/9/2021,746.00,756.00,740.00,742.60,-0.85,50635.00,37739128.10,39.65,18.73
12/8/2021,760.00,760.00,742.00,749.00,-2.22,45768.00,34233274.40,39.65,18.89
12/7/2021,790.00,795.20,765.00,766.00,-2.67,48358.00,37532023.90,39.65,19.32
12/6/2021,760.00,787.00,745.00,787.00,2.88,68582.00,52360864.20,39.65,19.85
12/5/2021,785.00,785.00,758.60,765.00,-2.92,73387.00,56446886.20,39.65,19.29
12/2/2021,805.00,805.00,780.00,788.00,-2.09,114952.00,90738112.70,39.65,19.87
12/1/2021,800.00,822.00,800.00,804.80,-0.64,25231.00,20342583.80,39.65,20.30
11/30/2021,813.80,813.80,790.00,810.00,1.25,94516.00,75387304.70,39.65,20.43
11/29/2021,824.00,825.00,797.00,800.00,-2.08,73172.00,59002359.80,39.65,20.18
11/28/2021,835.00,835.00,813.00,817.00,-2.97,66398.00,54348808.40,39.65,20.61
11/25/2021,825.00,843.00,825.00,842.00,1.32,81644.00,68455000.10,39.65,21.24
11/24/2021,836.00,836.00,821.70,831.00,-0.60,96252.00,79467348.90,39.65,20.96
11/23/2021,850.00,856.00,825.00,836.00,-1.65,64274.00,53372258.00,39.65,21.08
11/22/2021,855.00,860.00,832.10,850.00,1.19,38185.00,32333813.50,39.65,21.44
11/21/2021,870.00,870.00,836.00,840.00,-1.64,51751.00,43475291.10,39.65,21.19
11/18/2021,874.00,874.00,845.90,854.00,-2.40,86241.00,73799771.50,39.65,21.54
11/17/2021,880.00,897.00,862.00,875.00,0.57,143618.00,125718149.70,39.65,22.07
11/16/2021,825.00,870.00,820.00,870.00,5.47,104559.00,88602632.60,39.65,21.94
11/15/2021,817.00,833.00,817.00,824.90,-0.07,46501.00,38379665.70,39.65,20.80
11/14/2021,825.00,835.00,813.10,825.50,0.18,40711.00,33613694.60,39.65,20.82
11/11/2021,825.10,841.50,824.00,824.00,-1.79,60792.00,50322602.80,39.65,20.78
11/9/2021,860.00,860.00,830.00,839.00,-1.99,100951.00,84606433.90,39.65,21.16
11/8/2021,860.00,880.00,856.00,856.00,-1.60,53173.00,46062799.00,39.65,21.59
11/3/2021,886.00,886.00,866.00,869.90,0.10,62379.00,54281106.60,39.65,21.94
11/2/2021,890.00,890.00,865.00,869.00,-0.57,62963.00,54933045.20,39.65,21.92
11/1/2021,910.00,910.00,870.00,874.00,-2.13,133727.00,118720635.40,39.65,22.04
10/31/2021,871.00,902.10,856.00,893.00,2.53,222689.00,197009125.60,39.65,22.52
10/28/2021,870.00,876.00,855.00,871.00,0.11,199592.00,172354595.50,39.65,21.97
10/27/2021,830.00,873.20,826.00,870.00,3.94,230090.00,196152010.90,39.65,21.94
10/26/2021,819.30,841.50,790.00,837.00,0.12,299356.00,245515360.90,39.65,21.11
10/25/2021,832.00,841.00,820.00,836.00,0.72,70258.00,58460911.00,39.65,21.08
10/24/2021,800.00,835.00,799.00,830.00,2.72,113978.00,93518834.00,39.65,20.93
10/21/2021,795.00,809.80,794.10,808.00,0.75,61630.00,49396317.20,39.65,20.38
10/20/2021,806.00,821.00,795.00,802.00,1.39,58775.00,47229004.60,39.65,20.23
10/19/2021,818.00,819.00,785.00,791.00,-4.70,110546.00,88183538.70,39.65,19.95
10/18/2021,849.00,849.00,816.00,830.00,-2.24,62559.00,51815862.80,39.65,20.93
10/17/2021,845.00,850.00,830.50,849.00,1.07,34196.00,28794111.30,28.81,29.47
10/11/2021,850.00,850.00,833.50,840.00,-1.18,40240.00,33709578.60,28.81,29.16
10/10/2021,873.00,873.00,845.20,850.00,-0.93,55797.00,47629038.70,28.81,29.50
10/6/2021,855.00,865.00,848.00,858.00,0.94,54341.00,46570040.50,28.81,29.78
10/5/2021,850.00,854.90,842.00,850.00,0.00,39369.00,33449585.50,28.81,29.50
10/4/2021,849.10,858.00,833.00,850.00,0.11,94801.00,80190532.40,28.81,29.50
10/3/2021,850.10,860.00,844.00,849.10,-1.60,88933.00,75541858.00,28.81,29.47
9/30/2021,865.00,872.10,848.00,862.90,-0.24,82748.00,70901318.70,28.81,29.95
9/29/2021,872.10,872.10,845.00,865.00,0.70,89368.00,76406583.00,28.81,30.02
9/28/2021,865.00,880.00,851.00,859.00,-1.26,169341.00,145471114.60,28.81,29.82
9/27/2021,884.00,890.00,866.00,870.00,-1.58,66203.00,57630425.70,28.81,30.20
9/26/2021,920.00,920.00,882.00,884.00,-2.00,93082.00,82935286.80,28.81,30.68
9/23/2021,907.80,915.00,887.00,902.00,1.35,218766.00,196539332.00,28.81,31.31
9/22/2021,887.00,899.00,881.00,890.00,2.30,72519.00,64485530.50,28.81,30.89
9/21/2021,858.00,887.00,850.00,870.00,-0.58,173627.00,151015955.10,28.81,30.20
9/20/2021,897.10,897.10,875.00,875.10,-2.44,171670.00,151067766.30,28.81,30.37
9/16/2021,930.20,930.20,890.10,897.00,-1.64,161004.00,144001114.90,28.81,31.14
9/15/2021,920.00,924.00,903.00,912.00,-0.77,96697.00,88062455.20,28.81,31.66
